student_id,student_gender,student_age,course_name,watch_time,duration_sec,engagement,timestamp,source_file,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,_source_file,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level,first_name,last_name,score,hours_studied,assignments_completed,participation,metadata,transcript
students_adaptability_level_online_education.csv_8,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_9,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_10,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_11,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_12,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_13,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,No,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_14,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_15,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,High,Poor,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_16,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,Yes,Yes,Low,Poor,Mobile Data,4G,0,No,Computer,Low,,,,,,,,
students_adaptability_level_online_education.csv_17,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,No,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_18,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,High,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_19,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,High,Mid,Wifi,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_20,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Rich,Wifi,4G,1-3,No,Mobile,High,,,,,,,,
students_adaptability_level_online_education.csv_21,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_22,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,No,Low,Mid,Mobile Data,3G,3-6,Yes,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_23,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_24,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_25,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_26,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_27,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_28,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_29,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,High,Mid,Wifi,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_30,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_31,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_32,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_33,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_34,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_35,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_36,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_37,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,High,,,,,,,,
students_adaptability_level_online_education.csv_38,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,No,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_39,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,Yes,Low,Mid,Wifi,3G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_40,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,Yes,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_41,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_42,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_43,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_44,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Computer,Low,,,,,,,,
students_adaptability_level_online_education.csv_45,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_46,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_47,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_48,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_49,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Computer,Low,,,,,,,,
students_adaptability_level_online_education.csv_50,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_51,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_52,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,High,Mid,Mobile Data,3G,3-6,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_53,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,Yes,No,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_54,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_55,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_56,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_57,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_58,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_59,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,No,Low,Poor,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_60,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_61,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_62,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_63,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_64,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,High,Poor,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_65,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,High,,,,,,,,
students_adaptability_level_online_education.csv_66,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_67,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_68,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_69,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_70,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,No,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_71,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,No,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_72,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_73,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_74,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_75,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,2G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_76,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_77,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,No,High,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_78,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_79,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_80,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,3G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_81,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_82,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_83,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_84,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_85,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_86,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,High,,,,,,,,
students_adaptability_level_online_education.csv_87,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_88,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,High,Mid,Wifi,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_89,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,No,No,Low,Poor,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_90,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,No,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_91,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,3-6,Yes,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_92,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,3G,3-6,Yes,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_93,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_94,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_95,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_96,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_97,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,No,High,Poor,Mobile Data,2G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_98,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,Low,Mid,Wifi,4G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_99,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_100,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Wifi,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_101,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_102,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,No,High,Mid,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_103,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,Yes,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_104,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Poor,Wifi,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_105,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_106,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_107,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_108,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Tab,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_109,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,Yes,Low,Mid,Wifi,3G,1-3,Yes,Mobile,High,,,,,,,,
students_adaptability_level_online_education.csv_110,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,Yes,Low,Mid,Mobile Data,4G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_111,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_112,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Government,No,No,Low,Mid,Mobile Data,3G,0,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_113,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,High,Poor,Mobile Data,3G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_114,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_115,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,No,Yes,Low,Mid,Wifi,4G,3-6,Yes,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_116,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Government,Yes,Yes,Low,Mid,Wifi,4G,0,No,Computer,Low,,,,,,,,
students_adaptability_level_online_education.csv_117,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,Yes,High,Mid,Wifi,4G,3-6,Yes,Computer,Low,,,,,,,,
students_adaptability_level_online_education.csv_118,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Government,No,No,High,Poor,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_119,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,University,Non Government,Yes,No,Low,Mid,Mobile Data,3G,1-3,Yes,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_120,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,College,Non Government,No,Yes,High,Mid,Wifi,4G,3-6,No,Computer,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_121,Girl,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Wifi,4G,1-3,No,Mobile,Low,,,,,,,,
students_adaptability_level_online_education.csv_122,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,4G,1-3,No,Mobile,Moderate,,,,,,,,
students_adaptability_level_online_education.csv_123,Boy,,,,,,,students_adaptability_level_online_education.csv,,,,,,,,students_adaptability_level_online_education.csv,School,Non Government,No,Yes,Low,Mid,Mobile Data,3G,1-3,No,Mobile,Moderate,,,,,,,,
